CL1001#//#8614#//#Hassan Tarhouni#//#0911021332#//#14230.750000
CL1056#//#6388#//#Youssef Haddad#//#0911024979#//#11450.599609
CL1057#//#7862#//#Khaled Mansour#//#0911026568#//#22150.349609
CL1058#//#2600#//#Mustafa Sharif#//#0911032540#//#1450.800049
CL1059#//#8195#//#Mustafa Salem#//#0911027613#//#23850.000000
CL1060#//#6681#//#Mahmoud Mansour#//#0911031386#//#15940.450195
CL1061#//#4295#//#Ali Naser#//#0911019195#//#29850.699219
CL1062#//#5944#//#Youssef Zreiba#//#0911011421#//#12650.150391
CL1063#//#2258#//#Abdullah Haddad#//#0911030920#//#17450.849609
CL1064#//#5032#//#Tarek Badi#//#0911027154#//#28950.000000
CL1065#//#9646#//#Abdullah Misrati#//#0911020304#//#6150.299805
CL1066#//#5928#//#Ahmed Gaber#//#0911010593#//#2450.649902
CL1067#//#6459#//#Zaid Badi#//#0911023485#//#27850.400391
CL1068#//#9657#//#Mohammed Mansour#//#0911009672#//#15150.950195
CL1069#//#7131#//#Khaled Zreiba#//#0911012120#//#5840.200195
CL1070#//#8200#//#Zaid Mansour#//#0911007415#//#26450.750000
CL1071#//#8453#//#Hassan Fidda#//#0911028864#//#14150.500000
CL1072#//#6780#//#Ahmed Shakshuak#//#0911000747#//#24850.125000
CL1073#//#1203#//#Khaled Tarhouni#//#0911010600#//#27950.000000
CL1074#//#4667#//#Anas Al-Warfali#//#0911018447#//#28450.599609
CL1075#//#3326#//#Anas Gaber#//#0911002902#//#1540.349976
CL1076#//#2794#//#Zaid Sharif#//#0911003472#//#13950.799805
CL1077#//#1180#//#Omar Al-Warfali#//#0911011033#//#3850.250000
CL1078#//#9507#//#Mohammed Mansour#//#0911025600#//#24150.900391
CL1079#//#8248#//#Hassan Essa#//#0911027147#//#12350.150391
CL1080#//#6579#//#Ibrahim Salem#//#0911028718#//#11850.700195
CL1081#//#6218#//#Ahmed Al-Warfali#//#0911003272#//#14250.450195
CL1082#//#5115#//#Mustafa Gaber#//#0911004675#//#22450.000000
CL1083#//#8751#//#Khaled Sharif#//#0911014830#//#12950.349609
CL1084#//#8550#//#Khaled Haddad#//#0911027425#//#4350.600098
CL1085#//#1755#//#Mahmoud Tarhouni#//#0911023829#//#6150.850098
CL1086#//#1772#//#Siraj Haddad#//#0911023543#//#18450.199219
CL1087#//#3958#//#Omar Haddad#//#0911010769#//#14150.750000
CL1088#//#9014#//#Ahmed Tarhouni#//#0911023592#//#20850.400391
CL1089#//#5285#//#Ali Shakshuak#//#0911015462#//#15950.950195
CL1090#//#3323#//#Tarek Fidda#//#0911016734#//#22150.300781
CL1091#//#1673#//#Zaid Shakshuak#//#0911003852#//#25450.650391
CL1092#//#8634#//#Siraj Gaber#//#0911021993#//#28150.099609
CL1093#//#3612#//#Ibrahim Sharif#//#0911018532#//#19450.800781
CL1094#//#8799#//#Hamza Mansour#//#0911022876#//#22650.250000
CL1095#//#8106#//#Youssef Salem#//#0911005753#//#31050.000000
CL1096#//#3906#//#Siraj Sharif#//#0911018282#//#19850.449219
CL1097#//#8663#//#Mahmoud Badi#//#0911006010#//#3150.699951
CL1098#//#2454#//#Ahmed Haddad#//#0911000253#//#4550.149902
CL1099#//#3463#//#Mustafa Shakshuak#//#0911002679#//#29450.900391
CL1100#//#8895#//#Omar Badi#//#0911013207#//#0.049805
CL1107#//#8346#//#Ali Shaker#//#0912483959#//#750.450012
CL1106#//#7328#//#Ali Al-Ganodi#//#0933978508#//#250.755060
